"","docname","from","to","pre","keyword","post","pattern"
"1","ikem_01532.txt",105,105,"mit Umwelt- und","Klimaschutz","eine besondere Rolle","klimaschutz*"
"2","ikem_01532.txt",451,451,"mit Umwelt- und","Klimaschutz","eine besondere Rolle","klimaschutz*"
"3","ikem_01532.txt",697,697,"mit Umwelt- und","Klimaschutz","eine besondere Rolle","klimaschutz*"
"4","ikem_00191.txt",237,237,"des Instituts für","Klimaschutz",", Energie und","klimaschutz*"
"5","kr_00033.txt",411,411,"Energiewende und mehr","Klimaschutz","stehen mittlerweile ganz","klimaschutz*"
"6","ikem_00397.txt",196,196,"IKEM Institut für","Klimaschutz",", Energie und","klimaschutz*"
"7","ikem_01296.txt",15,15,"auf Wettbewerb und","Klimaschutz","Veranstaltungszeit : Mittwoch","klimaschutz*"
"8","ikem_01296.txt",151,151,"auf Wettbewerb und","Klimaschutz","| | 10","klimaschutz*"
"9","ikem_01296.txt",368,368,"dem Institut für","Klimaschutz",", Energie und","klimaschutz*"
"10","gerzero_00003.txt",177,177,"gerechten und wirksamen","Klimaschutz",". Das wird","klimaschutz*"
"11","gerzero_00003.txt",338,338,"Vorschläge , wie","Klimaschutz","aussehen kann und","klimaschutz*"
"12","gerzero_00003.txt",370,370,"mich GermanZero :","Klimaschutz","mit allen .","klimaschutz*"
"13","gerzero_00003.txt",523,523,"Freizeit für den","Klimaschutz","einsetzen . -","klimaschutz*"
"14","gerzero_00003.txt",610,610,"innen zu einem","Klimaschutzabkommen","gedrängt . Jetzt","klimaschutz*"
"15","gerzero_00003.txt",639,639,"sich jeder zum","Klimaschutz","verpflichtet fühlen .","klimaschutz*"
"16","gerzero_00003.txt",1496,1496,"„ Das Thema","Klimaschutz","zieht sich wie","klimaschutz*"
"17","gerzero_00003.txt",1555,1555,"Engagement für den","Klimaschutz",": Auf die","klimaschutz*"
"18","gerzero_00003.txt",1630,1630,"Arbeit für den","Klimaschutz","gut und sicher","klimaschutz*"
"19","gerzero_00003.txt",1930,1930,"zu machen und","Klimaschutz","in Deutschland endlich","klimaschutz*"
"20","gerzero_00003.txt",2329,2329,"Das ist aktiver","Klimaschutz","für den ich","klimaschutz*"
"21","gerzero_00003.txt",2424,2424,"Brüssel ) „","Klimaschutz","ist keine Frage","klimaschutz*"
"22","ikem_00055.txt",202,202,"was für den","Klimaschutz","zu tun ?","klimaschutz*"
"23","ikem_00055.txt",257,257,", Nachhaltigkeit und","Klimaschutz","in Berührung gekommen","klimaschutz*"
"24","ikem_00055.txt",289,289,"die Parallelen zwischen","Klimaschutz","und Menschenrechten immer","klimaschutz*"
"25","ikem_00055.txt",328,328,"deiner Arbeit zum","Klimaschutz","? Als Juristin","klimaschutz*"
"26","ikem_00055.txt",344,344,"interessiert , der","Klimaschutz","ermöglicht . Am","klimaschutz*"
"27","ikem_00055.txt",365,365,"denen Deutschland seine","Klimaschutzziele","erreicht . Wir","klimaschutz*"
"28","ikem_00055.txt",516,516,"Ich finde ,","Klimaschutz","sollte ganzheitlich gedacht","klimaschutz*"
"29","ikem_00055.txt",542,542,"und um effizienten","Klimaschutz","zu ermöglichen .","klimaschutz*"
"30","ikem_00055.txt",574,574,"beitragen , den","Klimaschutz","verstärkt in die","klimaschutz*"
