"","docname","from","to","pre","keyword","post","pattern"
"1","1jhpGg9y.txt",206,206,"considered the importance of rapid","climate","action otherwise . Social media","climate"
"2","1jhpGg9y.txt",299,299,"shift the narrative of the","climate","crisis is a reality -","climate"
"3","1jhpGg9y.txt",321,321,"that shows the reality of","climate","change to the world's most","climate"
"4","1jhpGg9y.txt",452,452,"Passing the mic will enable","climate","change to be tackled from","climate"
"5","1jhpGg9y.txt",485,485,"bare the root causes of","climate","change will achieve climate and","climate"
"6","1jhpGg9y.txt",489,489,"of climate change will achieve","climate","and social justice for all","climate"
"7","1jhpGg9y.txt",628,628,"unity in the fight against","climate","injustice . We have to","climate"
"8","1jhpGg9y.txt",3811,3811,"Philippines , Youth Advocates for","Climate","Action Philippines , Fridays for","climate"
"9","1jhpGg9y.txt",4045,4045,"Fridays for Future Calgary ,","Climate","Strike Canada - Ismael Canizalez","climate"
"10","1jhpGg9y.txt",4304,4304,", Belgium , Youth for","Climate","Belgium - Rachel Heckerman ,","climate"
"11","1jhpGg9y.txt",4345,4345,"Ines Vilhena , Portugal ,","climate","activist - Roxana Borda ,","climate"
"12","1jhpGg9y.txt",4393,4393,"Future Bogotá , Latinas for","Climate","- Karin Watson Ferrer ,","climate"
"13","1jhpGg9y.txt",4448,4448,"Future Chile & Latinas For","Climate","- Emily Mall , United","climate"
"14","1jhpGg9y.txt",5049,5049,", Northern Ireland , Youth","Climate","Association NI / Fridays for","climate"
"15","1jhpGg9y.txt",5064,5064,", Northern Ireland , Youth","Climate","Association NI / Fridays for","climate"
"16","1jhpGg9y.txt",5224,5224,"Emiliana Rickenmann , fff Colombia-","climate","strike switzerland - Anouki Heß","climate"
"17","1jhpGg9y.txt",5272,5272,"The Bahamas , Sail For","Climate","Action / Building Bridges For","climate"
"18","1jhpGg9y.txt",5278,5278,"Action / Building Bridges For","Climate","Action - Bronwyn Raper ,","climate"
"19","3dzTRw5p.txt",79,79,"tagged local politicians to take","climate","action , and more 😉","climate"
"20","3gNVM4c5.txt",7,7,"are many impressive and engaged","climate","strikers . The fastest way","climate"
"21","3gNVM4c5.txt",33,33,"you are looking for several","climate","activists , please consider including","climate"
"22","3gNVM4c5.txt",47,47,"the world . There are","climate","activists on every continent ,","climate"
"23","3gNVM4c5.txt",148,148,"unable to participate , other","climate","activists can be reached by","climate"
"24","5ZdQ7PMb.txt",57,57,"A key driver of the","climate","crisis is the global financial","climate"
"25","5ZdQ7PMb.txt",127,127,"UK's coal bank , a","climate","killer . This bank is","climate"
"26","5ZdQ7PMb.txt",487,487,"Must Stop ' Fueling the","Climate","Crisis ' | Vice -","climate"
"27","5ZdQ7PMb.txt",588,588,"your targets for the Global","Climate","Strike on March 19th #NoMoreEmptyPromises","climate"
"28","5ZdQ7PMb.txt",631,631,"levels of engagement for youth","climate","activists / groups . It","climate"
"29","5ZdQ7PMb.txt",873,873,"Chartered Bank is fuelling the","climate","crisis 🔥 While they pretend","climate"
"30","5ZdQ7PMb.txt",1053,1053,"& infrastructure which drives the","climate","crisis . It is time","climate"
"31","5ZdQ7PMb.txt",1199,1199,"Surely you know that the","climate","doesn't work that way .","climate"
"32","5ZdQ7PMb.txt",1258,1258,"in life due to the","climate","crisis . Our homelands are","climate"
"33","8PB7y1o7.txt",8,8,"yet again protested to demand","Climate","Justice . On March 19","climate"
"34","8PB7y1o7.txt",81,81,"is running out . The","climate","crisis is already here and","climate"
"35","8PB7y1o7.txt",106,106,"scenarios , annual , short-term","climate","binding targets that factor in","climate"
"36","8PB7y1o7.txt",244,244,", we must treat the","climate","and ecological emergency like an","climate"
"37","8PB7y1o7.txt",442,442,"emissions technologies . - Design","climate","policies that consider the welfare","climate"
"38","8PB7y1o7.txt",475,475,"they work to address the","climate","emergency . Justice for environmental","climate"
"39","8PB7y1o7.txt",521,521,"that limit citizen participation in","climate","decision-making . Governments should recognize","climate"
"40","8PB7y1o7.txt",540,540,"in the resolution of the","climate","crisis , and should be","climate"
"41","8PB7y1o7.txt",670,670,"No more empty promises '","Climate","strikers announce date for next","climate"
"42","8PB7y1o7.txt",677,677,"announce date for next global","climate","strike [ 13 Jan 2021","climate"
"43","8PB7y1o7.txt",709,709,"entering the new year ,","climate","activists are gearing up for","climate"
"44","8PB7y1o7.txt",718,718,"up for the next Global","Climate","Strike on March 19th to","climate"
"45","8PB7y1o7.txt",740,740,"in response to the ongoing","climate","crisis . Part of what","climate"
"46","8PB7y1o7.txt",817,817,"science is crystal clear -","climate","change is exacerbating natural disasters","climate"
"47","8PB7y1o7.txt",846,846,"said João Duccini , a","climate","activist from Brazil . ""","climate"
"48","8PB7y1o7.txt",853,853,"from Brazil . "" The","climate","crisis is not a far-off","climate"
"49","8PB7y1o7.txt",934,934,"of the Intergovernmental Panel on","Climate","Change ( IPCC ) was","climate"
