"","collocation","count","count_nested","length","lambda","z"
"1","klimawandel möglich",29,0,2,7.04600383774491,22.0172336115687
"2","in den",86,0,2,2.80601848783899,21.9744028674375
"3","macht unabhängigen",29,0,2,7.63010696129374,21.8559607808415
"4","° wird",30,0,2,5.39978062031748,20.9161340135107
"5","mit dem",46,0,2,3.59940213222377,20.5025454722337
"6","wenn sie",34,0,2,4.67485519663487,20.372160497177
"7","bis 2030",26,0,2,6.20666200604869,20.1523729803199
"8","für die",101,0,2,2.22417321720461,19.1911335922648
"9","gute wille",19,0,2,7.99851398603021,18.8822621107752
"10","in der",110,0,2,2.00539073062422,18.3890072197594
"11","gibt es",34,0,2,6.61292848283111,18.3254573987175
"12","sie unabhängigen",29,0,2,4.89013768099687,18.3088335216589
"13","dieser website",16,0,2,6.58525566905043,17.9636748584482
"14","in deutschland",39,0,2,4.08302446283814,17.8635333684558
"15","zu energiewende",29,0,2,4.64164291661453,16.890583387178
"16","aus dem",28,0,2,3.66572869804625,16.8417932655386
"17","auf dem",34,0,2,3.14910259618351,16.2307947441439
"18","negative emissionen",15,0,2,7.96755777534843,15.9308292294766
"19","1,5 grad",15,0,2,8.72279193658476,15.833383833595
"20","milliarden euro",12,0,2,7.62011510471727,15.7514065341554
"21","von klimareporter",23,0,2,4.26148892811135,15.7095970723917
"22","mehr als",21,0,2,3.91501441830028,15.6936178066583
"23","for 55",10,0,2,8.6343697273994,14.9433485287118
"24","richtige thema",12,0,2,8.2128023467938,14.8857513638604
"25","immer noch",14,0,2,4.60030260883732,14.7444645349567
"26","erneuerbaren energien",10,0,2,8.0080753018875,14.6723435498376
"27","in einer",29,0,2,3.33207889836916,14.6482310928527
"28","müssen wir",13,0,2,4.90503804846731,14.6070183291812
"29","fit for",10,0,2,9.01393799018644,14.5757448229373
"30","aber auch",21,0,2,3.56462619343842,14.5687290143618
"31","gemeinnützigen klimawissen",29,0,2,11.1451982403975,14.5373028548146
"32","den klimawandel",24,0,2,3.43082613690797,14.3001167431717
"33","mit einem",20,0,2,3.71373081156197,14.2898889370535
"34","können wir",13,0,2,4.5346250148247,14.0931890784947
"35","beim klimaschutz",13,0,2,4.46990098777729,14.0887058981339
"36","eine neue",18,0,2,3.94345843456661,14.0626525190445
"37","energiewende und",30,0,2,4.12820207243537,13.9255415287114
"38","europäische kommission",7,0,2,7.44743932441124,13.8467093057265
"39","ihrer einwilligung",8,0,2,6.05067316522648,13.7959988499834
"40","6 abs",22,0,2,11.2422840391205,13.768659001903
"41","nicht mehr",21,0,2,3.33783605930529,13.7319185113148
"42","diese woche",11,0,2,5.00619904770418,13.6877252047079
"43","thema setzen",7,0,2,7.24445917262961,13.566918181824
"44","euro pro",7,0,2,6.56150815066286,13.5416417541517
"45","geht es",13,0,2,4.630353144282,13.5287933929051
"46","nach dem",18,0,2,3.56108471328012,13.5164192144353
"47","die EU",37,0,2,3.22753813810245,13.4994646608858
"48","auf den",35,0,2,2.49723359426816,13.4826361549566
"49","pro tonne",7,0,2,7.63126125658043,13.4745745423744
"50","kein erdgas",7,0,2,6.40701377428277,13.4585299189846
"51","netto null",8,0,2,8.93401732253284,13.3902714670763
"52","nicht nur",18,0,2,3.55059734868044,13.3811307676898
"53","tonne CO2",8,0,2,7.74551428229079,13.3087748162115
"54","aus der",40,0,2,2.44032258591222,13.3034459446528
"55","mitglied des",14,0,2,5.18377759523116,13.2504778873634
"56","zum beispiel",12,0,2,6.53239842295655,13.244495889062
"57","bis 2050",10,0,2,5.66703775252924,13.2000859476893
"58","das klima",21,0,2,3.72457586173645,13.1762924140976
"59","verarbeitung ihrer",7,0,2,6.52369873215567,13.1074796210014
"60","COP 26",13,0,2,10.363917131088,13.0786413569668
"61","für den",41,0,2,2.2199288765292,13.0320826044014
"62","ihrer personenbezogenen",7,0,2,6.71480643550373,13.0189622105513
"63","können sie",15,0,2,3.89972327632492,13.001836057791
"64","in einem",24,0,2,3.13859773841784,12.9599013028052
"65","dem klimawandel",16,0,2,3.62189081165762,12.9538374535244
"66","europäische union",6,0,2,6.65933325801294,12.8836144608148
"67","gelingt verkehrswende",7,0,2,8.38589247810535,12.8702284198772
"68","dazu führen",6,0,2,7.16714781196492,12.7505125483238
"69","globale erwärmung",6,0,2,8.84467710184185,12.6412306473665
"70","nordrhein-westfalen eines",6,0,2,6.62824213978812,12.6185494141087
"71","mitglied im",12,0,2,4.93287885654933,12.6013466543605
"72","dass die",41,0,2,2.23430447835947,12.5365118290573
"73","immer wieder",8,0,2,5.06035177661094,12.5160584194516
"74","andreas knie",9,0,2,10.295243471405,12.5150554407331
"75","meisten tut",7,0,2,9.29666222558491,12.5082744634081
"76","zur klimaneutralität",9,0,2,5.41988548892421,12.506609988479
"77","nächste bundesregierung",6,0,2,6.58779922947204,12.4524454439337
"78","erneuerbare energien",8,0,2,8.32279365526278,12.4368833739749
"79","fast alle",7,0,2,5.41730868698125,12.3982036098669
"80","diese website",9,0,2,4.79720611025481,12.3080485678526
"81","wahlkampf endlich",5,0,2,8.22431482677762,12.2804179865781
"82","um die",38,0,2,2.27859330724075,12.2658557452494
"83","sagt armin",6,0,2,6.12168889702996,12.2555272347724
"84","neue studie",7,0,2,5.42543849878701,12.2247519652191
"85","klima-lügendetektor armin",5,0,2,7.49816812208722,12.1685375595964
"86","bis zum",12,0,2,3.84529211591047,12.1636453148195
"87","katastrophe kann",7,0,2,6.11412946046539,12.1397109564282
"88","und klimawandel",29,0,2,2.71838029726251,12.1175642658894
"89","bei uns",11,0,2,4.02612893209453,12.0435821693291
"90","europäischen union",5,0,2,6.74324900756306,12.008771082789
"91","muss javascript",18,0,2,8.17299675960807,11.96414130632
"92","fünf jahre",6,0,2,6.87223303450977,11.9083870572351
"93","weitere informationen",5,0,2,6.36533266038444,11.8780082332982
"94","das aktuelle",29,0,2,6.00058313236369,11.8184963402669
"95","darüber reden",5,0,2,7.57869617654793,11.7652029118123
"96","darüber sprechen",5,0,2,7.57869617654793,11.7652029118123
"97","am meisten",7,0,2,6.2234037401914,11.7624308011582
"98","den klimaschutz",19,0,2,2.97172399708422,11.6407751868064
"99","a DSGVO",8,0,2,8.75243497046511,11.629114836818
"100","ist ein",25,0,2,2.49024841493803,11.5424959182782
"101","historische flutkatastrophe",5,0,2,9.29676705425565,11.53675171906
"102","war er",7,0,2,4.8339861164211,11.5203578938729
"103","den letzten",13,0,2,4.37819184203118,11.4843864222143
"104","an uns",10,0,2,3.978981296409,11.4766941447749
"105","eu-kommission schlägt",4,0,2,7.78722914299254,11.4711127911462
"106","welche unserer",4,0,2,7.47093212837762,11.4349987848039
"107","zu erreichen",13,0,2,4.61930115826284,11.4292908019022
"108","zwei jahren",6,0,2,5.22911349807938,11.4204421366951
"109","anders heizen",5,0,2,8.39861579271801,11.4118289899574
"110","klimawissen e.v",35,0,2,13.3075033660925,11.4046826582828
"111","vom gemeinnützigen",30,0,2,9.65806159727407,11.3846505273222
"112","2050 klimaneutral",4,0,2,7.31053705160151,11.3622691820799
"113","einwilligung zur",7,0,2,5.07923399923991,11.3474548766404
"114","wir müssen",10,0,2,3.97933375683269,11.2583242039829
"115","kann man",7,0,2,4.65949286772725,11.2407646051071
"116","haben wir",10,0,2,3.85456758311744,11.2381778054407
"117","unserer seiten",4,0,2,6.86997476246923,11.237801016637
"118","klimaneutralität darf",4,0,2,7.10978771093406,11.234520179121
"119","um 1,5",8,0,2,4.99796274284249,11.2338050609204
"120","so viel",8,0,2,4.36345948740476,11.2306695634202
"121","über 100",8,0,2,5.37465087086929,11.2243638345088
"122","30 jahre",5,0,2,5.87762129776256,11.1979823492929
"123","100 prozent",6,0,2,5.51764282058655,11.1144572893621
"124","die klimakrise",25,0,2,3.74389707607097,11.091867802353
"125","kalenderwoche 26",4,0,2,6.57137689851821,11.0873876374147
"126","darf europa",4,0,2,7.06784433565167,11.0805785666186
