"","docname","from","to","pre","keyword","post","pattern"
"1","1d6ZTRxf.txt",15,15,"gibt es Neuigkeiten in Sachen","Klima","- aber was bedeutet es","klima"
"2","1d6ZTRxf.txt",47,47,"genauer bestimmen können ? Im","klima","update ° bespricht die klimareporter","klima"
"3","1d6ZTRxf.txt",64,64,"Klima-Nachrichten der Woche . Das","klima","update ° ist nur durch","klima"
"4","4sdQvjfY.txt",242,242,". Aber weil sich das","Klima","in Deutschland bereits deutlich erwärmt","klima"
"5","4sdQvjfY.txt",268,268,"nicht überhört werden sollte .","klima","update ° - Folge 35","klima"
"6","6k6gwJFD.txt",1,1,"","klima","update ° - Folge 35","klima"
"7","6k6gwJFD.txt",41,41,"und Susanne Schwarz . Das","klima","update ° Die Produktion ist","klima"
"8","6k6gwJFD.txt",89,89,") . Diese Woche im","klima","update ° : - Weltweit","klima"
"9","7Pk2VLdn.txt",526,526,"deutschen Autobahnen bringe nichts fürs","Klima",". Fakt ist seine Aussage","klima"
"10","9gqyNYEO.txt",22,22,". Aber weil sich das","Klima","in Deutschland bereits deutlich erwärmt","klima"
"11","9gqyNYEO.txt",145,145,"speichern . Da sich das","Klima","in Deutschland bereits um rund","klima"
"12","btLicppT.txt",224,224,"wenn Gerichte jetzt für das","Klima","urteilen , darf die Krise","klima"
"13","d1NGHBs9.txt",609,609,"sein , dass sich das","Klima","schon heute rasant verändert .","klima"
"14","EFO9nfx2.txt",949,949,"ist Wetter nicht gleichzusetzen mit","Klima",", aber richtig ist ,","klima"
"15","EHEL4cX3.txt",213,213,"nicht hilfreich . Über das","Klima","reden Was also ist ein","klima"
"16","EHEL4cX3.txt",476,476,"hin zu Nachrichtenberichten über das","Klima","und andere wichtige Themen .","klima"
"17","EHEL4cX3.txt",1336,1336,"ich arbeite , widmen dem","Klima","mehr Zeit und überdenken ihre","klima"
"18","eU9qBhVG.txt",269,269,"für einen echten Steuerungseffekt beim","Klima",". Aber schon wenn wir","klima"
"19","FVqQKF1O.txt",39,39,"wird : die Klimakrise .","klima","update ° - Folge 35","klima"
"20","FVqQKF1O.txt",584,584,", findet er erstaunlich .","klima","update ° - Folge 34","klima"
"21","hMDQ6UjG.txt",10,10,"Advertorials Fischzucht , Umwelt und","Klima","Aquakulturen boomen und werden nachhaltiger","klima"
"22","hMDQ6UjG.txt",53,53,"die Umwelt und indirekt das","Klima",". Agri-PV in Deutschland noch","klima"
"23","hMDQ6UjG.txt",438,438,"? Die Bundesregierung will das","Klima","mit "" grünem "" Wasserstoff","klima"
"24","ilcJYLuq.txt",45,45,"Der gute Wille Domino-Effekt beim","Klima","Einige der "" Kippelemente ""","klima"
"25","jbVAXV3F.txt",291,291,"einen positiven Einfluss auf das","Klima","und die Umwelt haben .","klima"
"26","jg1w69E9.txt",425,425,"und entlastet so Umwelt und","Klima",". Vor allem durch seine","klima"
"27","jg1w69E9.txt",441,441,"bessere Ökobilanz als Stahlbeton .","klima","update ° - Folge 34","klima"
"28","jg1w69E9.txt",510,510,"sind auch ein Risiko fürs","Klima",", ein neuer WHO-Bericht wirft","klima"
"29","JjblyKQ4.txt",402,402,", dass er auch das","Klima","schädigt . Laut einer neuen","klima"
"30","JjblyKQ4.txt",447,447,"illustrieren , dass sich das","Klima","schneller verändert als bisher angenommen","klima"
"31","JjblyKQ4.txt",477,477,"CO2-Trends keine Entspannung abzeichnet .","klima","update ° - Folge 33","klima"
"32","Jk5GWWCS.txt",205,205,"Energiewende und Klimawandel möglich .","klima","update ° - Folge 29","klima"
"33","JnYKUJwj.txt",436,436,". Bundesweiter Aktionstag "" Das","Klima","geht uns alle an ""","klima"
"34","kIvKliMV.txt",328,328,"Der gute Wille Gen-Schere fürs","Klima","? Agrarexperten schlagen vor ,","klima"
"35","NetyUMoC.txt",242,242,". Aber weil sich das","Klima","in Deutschland bereits deutlich erwärmt","klima"
"36","NetyUMoC.txt",268,268,"nicht überhört werden sollte .","klima","update ° - Folge 35","klima"
"37","NQNrgrWT.txt",453,453,"Weniger Zertifikate sind mehr fürs","Klima","Noch immer ist die Zahl","klima"
"38","O3ifi2qy.txt",287,287,", dass er auch das","Klima","schädigt . Laut einer neuen","klima"
"39","OhANDwC1.txt",113,113,", und das hilft dem","Klima",". FÖS-Studie mit Ausstiegs-Fahrplan Kein","klima"
"40","OhANDwC1.txt",396,396,"in Belgien . "" Bürgerrat","Klima",""" in der Analyse Macht","klima"
"41","OhANDwC1.txt",449,449,"werden . und Florian Wieczorek","klima","update ° - Folge 32","klima"
