"","docname","from","to","pre","keyword","post","pattern"
"1","eike_11224.txt",1261,1261,"noch die Scheinheilige und verlogene","Klimahysterie","in Verbindung mit angeblichen Alternativen","klimahysterie"
"2","eike_02805.txt",686,686,"alles tun , um die","Klimahysterie","zu fördern . Natürlich nur","klimahysterie"
"3","eike_08395.txt",2217,2217,". Die Energiewende und die","Klimahysterie","sind in Wahrheit ein weltumspannendes","klimahysterie"
"4","eike_06789.txt",2940,2940,"Maßnahmen und vor allem unreflektierende","Klimahysterie","von Frau Hendricks und ihrem","klimahysterie"
"5","eike_08111.txt",82,82,", die sich in manischer","Klimahysterie","äußern . Elementarer Wasserstoff hat","klimahysterie"
"6","eike_12304.txt",2004,2004,"für die perfide Agenda der","Klimahysterie","ausgenutzt wird . Und deshalb","klimahysterie"
"7","eike_00805.txt",1177,1177,"Franziskus allerdings teilnimmt . Diese","Klimahysterie","wird geschürt um die „","klimahysterie"
"8","eike_00574.txt",1735,1735,"der Neutralität . Durch die","Klimahysterie","ist auch generell das Gebiet","klimahysterie"
"9","eike_07717.txt",2111,2111,"Unseren türkischen Mitbürgern dürfte die","Klimahysterie","ganz schön auf den Keks","klimahysterie"
"10","eike_07717.txt",2998,2998,"wurde berichtet , dass „","Klimahysterie",""" zum Unwort des Jahres","klimahysterie"
"11","eike_07717.txt",3030,3030,"Ich werde das Wort „","Klimahysterie",""" jetzt wieder zu meinem","klimahysterie"
"12","eike_08620.txt",75,75,"In der Facebook-Gruppe Fakten gegen","Klimahysterie","( sehr zu empfehlen !","klimahysterie"
"13","eike_09015.txt",2826,2826,"aufgemachtes Video , welches die","Klimahysterie","und deren ( Pseudo- )","klimahysterie"
"14","eike_09015.txt",3174,3174,"jahrelang selbst geschürten und mitgetragenen","Klimahysterie","noch herauskommt , bevor diese","klimahysterie"
"15","eike_12615.txt",1333,1333,"nur mit der Argumentation „","Klimahysterie",""" . Auf jeden Fall","klimahysterie"
"16","eike_04323.txt",116,116,". Die Facebook-Gruppe Fakten gegen","Klimahysterie","stellte gerade die Eisbedeckungszahlen von","klimahysterie"
"17","eike_05527.txt",1807,1807,"Die Süddeutsche Zeitung - bei","Klimahysterie","immer an vorderster Stelle -","klimahysterie"
"18","eike_05527.txt",3306,3306,"besser in der Publizierung von","Klimahysterie","als die SZ , meldete","klimahysterie"
"19","eike_09001.txt",223,223,", die angesichts der überbordenden","Klimahysterie","zunehmend um Vorträge gebeten werden","klimahysterie"
"20","eike_09001.txt",3299,3299,", die angesichts der überbordenden","Klimahysterie","zunehmend um Vorträge gebeten werden","klimahysterie"
