"","docname","from","to","pre","keyword","post","pattern"
"1","fff_de_00447.txt",59,59,"weiter . Proteste gegen die","Klimakrise","dürfen nicht aufhören , denn","klimakrise"
"2","fff_de_00447.txt",66,66,"nicht aufhören , denn die","Klimakrise","ist bereits bittere Realität .","klimakrise"
"3","fff_de_00233.txt",134,134,"müssen sofortige Maßnahmen gegen die","Klimakrise","umsetzen "" , so Jördis","klimakrise"
"4","fff_de_00273.txt",43,43,", die Verantwortung in der","Klimakrise","übernehmen . Wähle fürs Klima","klimakrise"
"5","fff_de_00273.txt",221,221,"geht … Redet über die","Klimakrise","( aber richtig ) !","klimakrise"
"6","fff_de_00340.txt",70,70,"Zukunft zu gestalten und die","Klimakrise","zu bekämpfen . "" sagt","klimakrise"
"7","fff_de_00340.txt",171,171,"weder den Hate-Speech noch die","Klimakrise",". Kein Hasskommentar der Welt","klimakrise"
"8","gerzero_00003.txt",151,151,""" Referentin Klimapolitik „ Die","Klimakrise","ist unlösbar ? Nein .","klimakrise"
"9","gerzero_00003.txt",265,265,"Herausforderungen aller Zeiten : die","Klimakrise","zu stoppen . Um die","klimakrise"
"10","gerzero_00003.txt",439,439,"„ Was mich antreibt :","Klimakrise",", Artensterben , Projektmanagement .","klimakrise"
"11","gerzero_00003.txt",490,490,", wie wir auf die","Klimakrise","zusteuern . Daher engagiere ich","klimakrise"
"12","gerzero_00003.txt",1080,1080,"Nur so können wir die","Klimakrise","rechtzeitig aufhalten . "" Referentin","klimakrise"
"13","gerzero_00003.txt",1089,1089,""" Referentin Kommunikation „ Die","Klimakrise","ist lösbar . Punkt !","klimakrise"
"14","gerzero_00003.txt",1226,1226,". "" Redakteur „ Die","Klimakrise","geht alle an . Daher","klimakrise"
"15","gerzero_00003.txt",1843,1843,"hervorragenden Plan braucht um die","Klimakrise","in Deutschland anzugehen . Diesen","klimakrise"
"16","fff_de_00232.txt",61,61,"klären wir , warum die","Klimakrise","ungerecht ist und wie und","klimakrise"
"17","fff_de_00232.txt",82,82,"Was ist Klimagerechtigkeit ? Die","Klimakrise","ist eine Gerechtigkeitskrise , denn","klimakrise"
"18","fff_de_00232.txt",110,110,"tragen alle die Konsequenzen der","Klimakrise",", jedoch trifft sie uns","klimakrise"
"19","fff_de_00232.txt",130,130,"besser vor den Folgen der","Klimakrise","schützen als andere , was","klimakrise"
"20","fff_de_00232.txt",179,179,"die am wenigsten für die","Klimakrise","verantwortlich sind weder die Mittel","klimakrise"
